ID_Transakcji,Data_Transakcji,ID_Klienta,Produkt,Kategoria,Ilosc,Cena_Jednostkowa,Miasto
T001,2025-01-05 10:15:30,K101,Laptop Dell XPS 15,Laptopy,1,7500 PLN,Warszawa
T002,2025-01-07 14:22:11,K102,Smartfon Samsung Galaxy S25,Smartfony,1,4800.00,Kraków
T003,2025-01-10 09:05:00,K103,Mysz Logitech MX Master 4,Akcesoria,1,,Wrocław
T004,2025-01-11 18:30:55,K101,Klawiatura Mechaniczna Apex,Akcesoria,1,600,Warszawa
T005,2025-01-15 11:55:20,K104, Telewizor LG OLED 55 cali,Telewizory,1,6200,Poznań
T006,2025-01-18 20:10:00,K105,Słuchawki Sony WH-1000XM6,Akcesoria,1,1500,Gdańsk
T007,2025-01-21 12:00:45,K102,Ładowarka USB-C 65W,Akcesoria,-1,120,Kraków
T008,2025-01-25 16:45:10,K106,Laptop Apple MacBook Air M3,Laptopy,1,6800,Warszawa
T009,2025-02-01 08:50:00,K107,Smartfon Google Pixel 9,Smartfony,1,4100,Wrocław
T010,2025-02-05 13:13:13,K103,Monitor Dell 27 cali 4K,Akcesoria,1,1800,Wrocław
T011,2025-02-10 17:00:30,K108,Smartfon Samsung Galaxy S25,Smartfony,1,4800,gdansk
T012,2025-02-14 10:00:00,K101,Dysk SSD Samsung 1TB,Akcesoria,1,550,Warszawa
T013,2025-02-18 19:25:05,K109,Laptop Dell XPS 15,Laptopy,1,7500,Kraków
T014,2025-02-22 09:33:18,K110,Mysz Logitech MX Master 4,Akcesoria,1,450,Poznań
T015,2025-02-28 15:15:50,K105,Telewizor LG OLED 55 cali,Telewizory,1,6200,Gdańsk
T016,2025-03-03 11:40:00,K102,Smartfon Samsung Galaxy S25,smartfony,1,4800,Kraków
T017,2025-03-07 14:05:22,K111,Słuchawki Sony WH-1000XM6,Akcesoria,1,1500,Warszawa
T018,2025-03-12 08:10:00,K106,Klawiatura Mechaniczna Apex,Akcesoria,1,600,Warszawa
T019,2025-03-18 16:55:30,K107,Laptop Apple MacBook Air M3,Laptopy ,1,6800,Wrocław
